label,Date,CValue
Total capital,2014-03-31,[1.64499e+11]
Total capital,2015-03-31,[1.78185e+11]
Total capital,2019-06-30,[3.3726e+10]
Total capital,2019-09-30,[-1.2171e+10]
Total capital,2020-03-31,[2.22994e+11]
Total capital,2021-03-31,[2.60288e+11]
Total capital,2022-03-31,[2.80403e+11]
Total capital,2023-03-31,[2.92244e+11]
Allowance for loan and lease losses includable in tier 2 capital,2014-03-31,[1.3456e+10]
Allowance for loan and lease losses includable in tier 2 capital,2019-06-30,[3.255e+09]
Allowance for loan and lease losses includable in tier 2 capital,2020-03-31,[1.8046e+10]
Allowance for loan and lease losses includable in tier 2 capital,2021-03-31,[1.7712e+10]
Allowance for loan and lease losses includable in tier 2 capital,2021-09-30,[-1.53e+09]
Allowance for loan and lease losses includable in tier 2 capital,2021-12-31,[-1.326e+09]
Allowance for loan and lease losses includable in tier 2 capital,2022-03-31,[1.6636e+10]
Allowance for loan and lease losses includable in tier 2 capital,2023-03-31,[1.8949e+10]
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2014-03-31,[1.9784e+10]
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2015-03-31,[1.6199e+10]
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2016-03-31,[1.4718e+10]
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2016-12-31,[-2.259e+09]
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2017-03-31,[1.1896e+10]
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2019-06-30,[6.262e+09]
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2021-03-31,[1.7822e+10]
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2023-03-31,[1.869e+10]
Leverage ratio,2014-03-31,[0.0766]
Total capital ratio,2014-03-31,[0.1329]
Total capital ratio,2014-06-30,[0.1189]
Tier 1 capital ratio,2014-03-31,[0.1169]
Tier 1 capital ratio,2014-06-30,[0.1109]
Tier 1 capital,2014-03-31,[1.44715e+11]
Tier 1 capital,2015-03-31,[1.61986e+11]
Tier 1 capital,2019-06-30,[2.7464e+10]
Tier 1 capital,2019-09-30,[-1.2275e+10]
Tier 1 capital,2020-03-31,[2.04691e+11]
Tier 1 capital,2021-03-31,[2.42466e+11]
Tier 1 capital,2022-03-31,[2.639e+11]
Tier 1 capital,2023-03-31,[2.73554e+11]
Total risk-weighted assets,2014-03-31,[1.2378479e+12]
Total risk-weighted assets,2019-06-30,[9.659189e+10]
Total risk-weighted assets,2020-03-31,[1.52791418e+12]
Total risk-weighted assets,2020-06-30,[-6.938044e+10]
Total risk-weighted assets,2021-03-31,[1.50315792e+12]
Total risk-weighted assets,2022-03-31,[1.66049776e+12]
Total risk-weighted assets,2023-03-31,[1.58459132e+12]
Total risk-weighted assets,2019-06-30,[9.659189e+10]
Total risk-weighted assets,2020-03-31,[1.52791418e+12]
Total risk-weighted assets,2020-06-30,[-6.938044e+10]
Total risk-weighted assets,2021-03-31,[1.50315792e+12]
Total risk-weighted assets,2022-03-31,[1.66049776e+12]
Total risk-weighted assets,2023-03-31,[1.58459132e+12]
Total assets for the leverage ratio,2014-03-31,[1.889491e+12]
Total assets for the leverage ratio,2016-03-31,[1.919207e+12]
Total assets for the leverage ratio,2019-03-31,[2.219559e+12]
Total assets for the leverage ratio,2020-03-31,[2.43972e+12]
Total assets for the leverage ratio,2020-06-30,[3.1779e+11]
Total assets for the leverage ratio,2021-03-31,[3.12077e+12]
Total assets for the leverage ratio,2022-03-31,[3.395148e+12]
Total assets for the leverage ratio,2023-03-31,[3.180721e+12]
Accumulated other comprehensive income (AOCI),2020-03-31,[6.147e+09]
Accumulated other comprehensive income (AOCI),2020-06-30,[2.291e+09]
Accumulated other comprehensive income (AOCI),2021-09-30,[-1.458e+09]
Accumulated other comprehensive income (AOCI),2022-03-31,[-9.901e+09]
Accumulated other comprehensive income (AOCI),2022-06-30,[-5.82e+09]
Accumulated other comprehensive income (AOCI),2022-09-30,[-5.289e+09]
Accumulated other comprehensive income (AOCI),2022-12-31,[3.046e+09]
Accumulated other comprehensive income (AOCI),2023-03-31,[-1.4748e+10]
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2014-03-31,[-5.767e+09]
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2015-03-31,[-7.456e+09]
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2015-12-31,[3.461e+09]
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2020-03-31,[-7.356e+09]
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2020-09-30,[5.357e+09]
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-03-31,[4.52e+09]
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-06-30,[5.806e+09]
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2023-03-31,[8.147e+09]
Total leverage exposure,2020-03-31,[3.118192e+12]
Total leverage exposure,2020-06-30,[3.00433e+11]
Total leverage exposure,2021-03-31,[3.867551e+12]
Total leverage exposure,2022-03-31,[4.125933e+12]
Total leverage exposure,2022-09-30,[-1.01949e+11]
Total leverage exposure,2023-03-31,[3.848373e+12]
Retained earnings,2020-03-31,[1.29375e+11]
Retained earnings,2021-03-31,[1.59933e+11]
Retained earnings,2022-03-31,[1.9099e+11]
Retained earnings,2023-03-31,[2.04884e+11]
Retained earnings,2005-03-31,[2.1936e+10]
Retained earnings,2006-03-31,[2.7149e+10]
Retained earnings,2007-03-31,[3.6574e+10]
Retained earnings,2009-03-31,[5.2812e+10]
Retained earnings,2009-09-30,[-6.652e+09]
Retained earnings,2010-12-31,[-6.914e+09]
Retained earnings,2012-03-31,[4.9455e+10]
Retained earnings,2013-03-31,[6.4444e+10]
Retained earnings,2014-03-31,[7.7574e+10]
Retained earnings,2015-03-31,[9.3507e+10]
Retained earnings,2016-03-31,[1.00635e+11]
Retained earnings,2017-03-31,[1.1029e+11]
Retained earnings,2018-03-31,[1.14732e+11]
Retained earnings,2020-03-31,[1.25027e+11]
Retained earnings,2021-03-31,[1.55381e+11]
Retained earnings,2022-03-31,[1.88805e+11]
Retained earnings,2023-03-31,[2.03428e+11]
Average total consolidated assets,2019-03-31,[2.244038e+12]
Average total consolidated assets,2020-03-31,[2.471436e+12]
Average total consolidated assets,2020-06-30,[3.14526e+11]
Average total consolidated assets,2022-03-31,[3.440085e+12]
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2017-03-31,[9.591e+10]
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2019-06-30,[2.4858e+10]
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2019-09-30,[-1.35e+10]
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2020-03-31,[1.12325e+11]
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2020-06-30,[5.e+09]
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2021-03-31,[1.20275e+11]
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2022-03-31,[1.20249e+11]
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2023-03-31,[1.20321e+11]
Common equity tier 1 capital ratio,2014-03-31,[0.1169]
Common equity tier 1 capital ratio,2014-06-30,[0.1109]
Common equity tier 1 minority interest includable in common equity tier 1 capital,2014-03-31,[1000000.]
Common equity tier 1 minority interest includable in common equity tier 1 capital,2014-06-30,[1000000.]
Common equity tier 1 minority interest includable in common equity tier 1 capital,2014-09-30,[-1000000.]
Common equity tier 1 minority interest includable in common equity tier 1 capital,2015-03-31,[1000000.]
Common equity tier 1 minority interest includable in common equity tier 1 capital,2016-03-31,[1000000.]
Common equity tier 1 minority interest includable in common equity tier 1 capital,2016-06-30,[-1000000.]
Common equity tier 1 capital before adjustments and deductions,2014-03-31,[1.70757e+11]
Common equity tier 1 capital before adjustments and deductions,2015-03-31,[1.8789e+11]
Common equity tier 1 capital before adjustments and deductions,2019-06-30,[3.9861e+10]
Common equity tier 1 capital before adjustments and deductions,2019-09-30,[-1.1617e+10]
Common equity tier 1 capital before adjustments and deductions,2020-03-31,[2.47847e+11]
Common equity tier 1 capital before adjustments and deductions,2021-03-31,[2.81921e+11]
Common equity tier 1 capital before adjustments and deductions,2022-03-31,[3.01338e+11]
Common equity tier 1 capital before adjustments and deductions,2023-03-31,[3.10457e+11]
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2015-09-30,[-2.21e+08]
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2017-12-31,[8.56e+08]
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2019-06-30,[1.2184e+10]
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2020-03-31,[3.8579e+10]
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2021-03-31,[3.8584e+10]
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2022-03-31,[3.9783e+10]
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2022-12-31,[8.1e+08]
