Label,Date,Value
Total capital,2014-03-31,164499000000.0
Total capital,2014-06-30,168312000000.0
Total capital,2020-09-30,242927000000.0
Total capital,2020-12-31,252045000000.0
Total capital,2021-03-31,260288000000.0
Total capital,2021-06-30,269803000000.0
Total capital,2022-12-31,288433000000.0
Total capital,2023-03-31,292244000000.0
Allowance for loan and lease losses includable in tier 2 capital,2014-03-31,13456000000.0
Allowance for loan and lease losses includable in tier 2 capital,2014-06-30,13028000000.0
Allowance for loan and lease losses includable in tier 2 capital,2018-09-30,10727000000.0
Allowance for loan and lease losses includable in tier 2 capital,2021-09-30,16285000000.0
Allowance for loan and lease losses includable in tier 2 capital,2021-12-31,14959000000.0
Allowance for loan and lease losses includable in tier 2 capital,2022-03-31,16636000000.0
Allowance for loan and lease losses includable in tier 2 capital,2022-12-31,18962000000.0
Allowance for loan and lease losses includable in tier 2 capital,2023-03-31,18949000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2014-03-31,19784000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2015-06-30,15283000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2015-12-31,14040000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2016-12-31,12321000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2017-03-31,11896000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2017-06-30,11710000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2018-09-30,11026000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2022-12-31,18761000000.0
Leverage ratio,2014-03-31,0.0766
Total capital ratio,2014-12-31,0.1409
Total capital ratio,2014-06-30,0.1189
Tier 1 capital ratio,2014-12-31,0.1275
Tier 1 capital ratio,2014-06-30,0.1109
Tier 1 capital,2014-03-31,144715000000.0
Tier 1 capital,2014-06-30,149637000000.0
Tier 1 capital,2020-09-30,225549000000.0
Tier 1 capital,2020-12-31,234237000000.0
Tier 1 capital,2021-03-31,242466000000.0
Tier 1 capital,2021-06-30,251951000000.0
Tier 1 capital,2022-12-31,269672000000.0
Tier 1 capital,2023-03-31,273554000000.0
Total risk-weighted assets,2014-03-31,1237847900000.0
Total risk-weighted assets,2014-06-30,1241564800000.0
Total risk-weighted assets,2014-09-30,1239245600000.0
Total risk-weighted assets,2014-12-31,1230358100000.0
Total risk-weighted assets,2018-03-31,1382770270000.0
Total risk-weighted assets,2021-09-30,1562369680000.0
Total risk-weighted assets,2022-03-31,1660497765000.0
Total risk-weighted assets,2022-06-30,1631554690000.0
Total risk-weighted assets,2022-09-30,1614627530000.0
Total risk-weighted assets,2018-03-31,1382770270000.0
Total risk-weighted assets,2021-09-30,1562369680000.0
Total risk-weighted assets,2022-03-31,1660497765000.0
Total risk-weighted assets,2022-06-30,1631554690000.0
Total risk-weighted assets,2022-09-30,1614627530000.0
Total assets for the leverage ratio,2014-03-31,1889491000000.0
Total assets for the leverage ratio,2020-03-31,2439720000000.0
Total assets for the leverage ratio,2020-06-30,2757510000000.0
Total assets for the leverage ratio,2020-09-30,2852307000000.0
Total assets for the leverage ratio,2020-12-31,2970285000000.0
Total assets for the leverage ratio,2021-03-31,3120770000000.0
Total assets for the leverage ratio,2022-03-31,3395148000000.0
Total assets for the leverage ratio,2022-06-30,3402079000000.0
Accumulated other comprehensive income (AOCI),2020-03-31,6147000000.0
Accumulated other comprehensive income (AOCI),2020-09-30,8890000000.0
Accumulated other comprehensive income (AOCI),2020-12-31,8418000000.0
Accumulated other comprehensive income (AOCI),2022-03-31,-9901000000.0
Accumulated other comprehensive income (AOCI),2022-06-30,-15721000000.0
Accumulated other comprehensive income (AOCI),2022-09-30,-21010000000.0
Accumulated other comprehensive income (AOCI),2022-12-31,-17964000000.0
Accumulated other comprehensive income (AOCI),2023-03-31,-14748000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2020-06-30,-10609000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2021-06-30,317000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2021-12-31,1421000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-03-31,4520000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-06-30,10326000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-09-30,9727000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-12-31,11739000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2023-03-31,8147000000.0
Total leverage exposure,2016-09-30,2713376960000.0
Total leverage exposure,2020-03-31,3118192000000.0
Total leverage exposure,2020-06-30,3418625000000.0
Total leverage exposure,2020-09-30,3544506000000.0
Total leverage exposure,2020-12-31,3688797000000.0
Total leverage exposure,2022-03-31,4125933000000.0
Retained earnings,2020-12-31,150130000000.0
Retained earnings,2021-03-31,159933000000.0
Retained earnings,2021-06-30,168646000000.0
Retained earnings,2021-09-30,177554000000.0
Retained earnings,2021-12-31,185334000000.0
Retained earnings,2022-06-30,194902000000.0
Retained earnings,2022-09-30,200210000000.0
Retained earnings,2022-12-31,203448000000.0
Retained earnings,2023-03-31,204884000000.0
Retained earnings,2001-03-31,9446000000.0
Retained earnings,2001-06-30,9985000000.0
Retained earnings,2001-09-30,10641000000.0
Retained earnings,2021-03-31,155381000000.0
Retained earnings,2021-06-30,164781000000.0
Retained earnings,2021-09-30,174198000000.0
Retained earnings,2021-12-31,182421000000.0
Retained earnings,2022-03-31,188805000000.0
Retained earnings,2022-06-30,192717000000.0
Retained earnings,2022-09-30,198025000000.0
Retained earnings,2022-12-31,201263000000.0
Retained earnings,2023-03-31,203428000000.0
Average total consolidated assets,2019-03-31,2244038000000.0
Average total consolidated assets,2020-03-31,2471436000000.0
Average total consolidated assets,2020-06-30,2785962000000.0
Average total consolidated assets,2022-06-30,3452839000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2014-03-31,92553000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2015-06-30,92591000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2015-09-30,94547000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2017-12-31,96068000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2018-09-30,100933000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2019-06-30,125820000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2019-09-30,112320000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2020-06-30,117325000000.0
Common equity tier 1 capital ratio,2014-12-31,0.1273
Common equity tier 1 capital ratio,2014-06-30,0.1109
Common equity tier 1 minority interest includable in common equity tier 1 capital,2014-06-30,2000000.0
Common equity tier 1 capital before adjustments and deductions,2014-03-31,170757000000.0
Common equity tier 1 capital before adjustments and deductions,2014-06-30,175870000000.0
Common equity tier 1 capital before adjustments and deductions,2020-09-30,267609000000.0
Common equity tier 1 capital before adjustments and deductions,2020-12-31,275824000000.0
Common equity tier 1 capital before adjustments and deductions,2021-03-31,281921000000.0
Common equity tier 1 capital before adjustments and deductions,2021-06-30,291995000000.0
Common equity tier 1 capital before adjustments and deductions,2022-03-31,301338000000.0
Common equity tier 1 capital before adjustments and deductions,2023-03-31,310457000000.0
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2015-09-30,25483000000.0
